Raison Sociale;SIREN;Année;Note;Structure;Nom UES;Entreprises UES (SIREN);Région;Département
ELLISPHERE;482755741;2020;86;Entreprise;;;Île-de-France;Hauts-de-Seine
MOET HENNESSY DIAGEO;337080055;2020;84;Entreprise;;;Île-de-France;Hauts-de-Seine
CPAM ILLE ET VILAINE;777749342;2020;94;Entreprise;;;Bretagne;Ille-et-Vilaine
SAS VAREDIS;498417005;2020;93;Entreprise;;;Île-de-France;Seine-et-Marne
BUREAU VERITAS CERTIFICATION;399851609;2020;87;Entreprise;;;Île-de-France;Hauts-de-Seine
MAHOLA HOTESSES;341749349;2019;75;Entreprise;;;Île-de-France;Paris
Lesieur;457208619;2020;84;Entreprise;;;Île-de-France;Hauts-de-Seine
ARDATEM;339809527;2020;82;Entreprise;;;Auvergne-Rhône-Alpes;Ardèche
IGC;306039470;2020;85;Unité Economique et Sociale (UES);;ARIANE CONSTRUCTIONS (351339213),IGCE (432352581),MAISONS AQUITAINE (327469482);Nouvelle-Aquitaine;Gironde
CIMLEC Industrie;421409236;2020;;Entreprise;;;Île-de-France;Yvelines
UNION-MATERIAUX;455800482;2020;85;Unité Economique et Sociale (UES);;GERVAIS MATERIAUX (570201244),MATMAX (500718515),AUDISMAT (795371418),GIE GROUPE UNION-MATERIAUX (808361976),GIE BASE LOGISTIQUE GROUPE UNION-MATERIAUX (809610819);Occitanie;Hérault
 ARCADE ASSISTANCES SERVICES;440658102;2020;78;Entreprise;;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
STURNO;405750167;2020;;Entreprise;;;Normandie;Manche
BTP RMS;488411844;2020;81;Entreprise;;;Île-de-France;Paris
UES VALMONT;384349247;2020;94;Entreprise;;;Occitanie;Aveyron
SCOP NEA;445042898;2020;98;Entreprise;;;Auvergne-Rhône-Alpes;Savoie
LA PYRENEENNE HYGIENE ET SERVICE;444556179;2020;89;Entreprise;;;Occitanie;Pyrénées-Orientales
ARKOPHARMA;307378489;2020;81;Unité Economique et Sociale (UES);;Apharma Capial SASU (800899890),LHS SAS (331394783),Herboristerie Wittwer SAS (428643118);Provence-Alpes-Côte d'Azur;Alpes-Maritimes
LABORATOIRES BOUCHARA RECORDATI;448777920;2020;78;Entreprise;;;Île-de-France;Hauts-de-Seine
SERVICE ACCUEIL PREVENTION SECURITE PRIVEE;420165268;2020;87;Entreprise;;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
MAZARS SA ;784824153;2020;89;Entreprise;;;Île-de-France;Hauts-de-Seine
SOFTEAM;493241897;2020;62;Entreprise;;;Île-de-France;Val-de-Marne
BOUYGUES TELECOM;397480930;2020;94;Entreprise;;;Île-de-France;Paris
sasu clinique Mathilde;620500223;2020;84;Entreprise;;;Normandie;Seine-Maritime
HUGO BOSS France;450772041;2020;83;Entreprise;;;Île-de-France;Paris
COURIR FRANCE;428559967;2020;;Entreprise;;;Île-de-France;Paris
SI. LESAFFRE;349069047;2020;86;Entreprise;;;Hauts-de-France;Nord
APIM;423952696;2019;;Entreprise;;;Occitanie;Tarn-et-Garonne
CONSERVERIE CHANCERELLE;443146873;2020;82;Entreprise;;;Bretagne;Finistère
TIR TECHNOLOGIES;442833935;2020;79;Entreprise;;;Grand-Est;Bas-Rhin
LIGUE HAVRAISE POUR L'AIDE AUX PERSONNES HANDICAPEES;775700628;2020;92;Entreprise;;;Normandie;Seine-Maritime
SA;330416074;2020;88;Entreprise;;;Île-de-France;Paris
SARP Industries;303772982;2020;74;Entreprise;;;Île-de-France;Yvelines
NETINDUS ;340337740;2020;79;Entreprise;;;Île-de-France;Val-d'Oise
Ufcv;775685621;2019;98;Entreprise;;;Île-de-France;Paris
Boehringer Ingelheim Animal Health France;590800215;2020;88;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
CIRAD;331596270;2020;88;Entreprise;;;Île-de-France;Paris
SMP;428900021;2020;82;Entreprise;;;Occitanie;Hérault
DIANA FOOD;308235175;2020;91;Entreprise;;;Bretagne;Ille-et-Vilaine
FONDATION DE NICE PSP-ACTES;782621395;2020;92;Entreprise;;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes
AIDE DOMICILE AUX RETRAITES REGION FOURM;317167435;2020;94;Entreprise;;;Hauts-de-France;Nord
UES LE PARISIEN LIBERE;332890359;2020;92;Unité Economique et Sociale (UES);;LE PARISIEN MAGAZINE (508133394),TEAM MEDIA (389505850),LE PARISIEN MANAGEMENT (797767035);Île-de-France;Paris
SAFRAN POWER UNITS;630800084;2020;93;Entreprise;;;Occitanie;Haute-Garonne
Association les PEP 18;775022163;2020;89;Entreprise;;;Centre-Val de Loire;Cher
SNEF SA;056800659;2020;88;Entreprise;;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
RGIS Spécialiste en Inventaire sarl;450593975;2020;94;Entreprise;;;Île-de-France;Hauts-de-Seine
ASTEN;542057336;2020;;Entreprise;;;Île-de-France;Val-de-Marne
DAHER NUCLEAR TECHNOLOGIES;394239909;2020;;Entreprise;;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
SARTORIUS STEDIM FMT;538760125;2019;86;Entreprise;;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
ST MICHEL CONTRES;500144803;2020;94;Entreprise;;;Centre-Val de Loire;Loir-et-Cher
GOODRICH AEROSPACE EUROPE;720802529;2020;88;Entreprise;;;Occitanie;Haute-Garonne
COMPTOIR DES COTONNIERS;720802776;2019;68;Entreprise;;;Île-de-France;Paris
